BN,TN,startTR,startTRReal,startTimeReal,planTime,execTime,feedbackTime,iti,expectedDigit1,expectedDigit2,expectedDigit3,expectedDigit4,expectedDigit5,pressedDigit1,pressedDigit2,pressedDigit3,pressedDigit4,pressedDigit5,releasedDigit1,releasedDigit2,releasedDigit3,releasedDigit4,releasedDigit5,reactionTime1,reactionTime2,reactionTime3,reactionTime4,reactionTime5,releaseTime1,releaseTime2,releaseTime3,releaseTime4,releaseTime5,isError,ExecutionTime,MovementTime,numCorrectDigits,rewThresh1,rewThresh2,QuartetType,Unnamed: 41,SN,SID,PosInQuartet,Quartet,planError,correct,ipi1,ipi2,ipi3,ipi4
1,1,0,6,5001,1000,5000,1000,500,5,3,2,4,2,1.0,3.0,2.0,4.0,2.0,1.0,3.0,2.0,4.0,2.0,575.0,2325.0,2780.0,3725.0,4230.0,1130.0,2625.0,3165.0,4095.0,4525.0,1,5000.0,5000.0,4,2000.0,4000.0,3,,0,100,1,AAAA,False,False,1750.0,455.0,945.0,505.0
1,2,0,13,12051,1000,5000,1000,500,5,3,2,4,2,5.0,5.0,3.0,4.0,3.0,5.0,5.0,3.0,4.0,3.0,5.0,465.0,2040.0,3415.0,4240.0,355.0,490.0,2290.0,3680.0,4455.0,1,5000.0,5000.0,2,2000.0,4000.0,3,,0,100,2,AAAA,True,False,460.0,1575.0,1375.0,825.0
1,3,0,20,19031,1000,5000,1000,500,5,3,2,4,2,5.0,3.0,2.0,4.0,2.0,5.0,3.0,2.0,4.0,2.0,5.0,1365.0,1740.0,2220.0,2690.0,450.0,1650.0,1985.0,2550.0,2905.0,0,2905.0,2900.0,5,2000.0,4000.0,3,,0,100,3,AAAA,True,False,1360.0,375.0,480.0,470.0
1,4,0,25,24460,1000,5000,1000,500,5,3,2,4,2,5.0,3.0,2.0,4.0,2.0,5.0,3.0,2.0,4.0,2.0,5.0,1045.0,1370.0,1775.0,2150.0,415.0,1315.0,1585.0,2055.0,2525.0,0,2525.0,2520.0,5,2000.0,4000.0,3,,0,100,4,AAAA,True,False,1040.0,325.0,405.0,375.0
1,5,0,30,29510,1000,5000,1000,500,3,4,3,3,5,3.0,4.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,5.0,945.0,1380.0,1885.0,2270.0,2765.0,1240.0,1665.0,2175.0,2520.0,3090.0,0,3090.0,2145.0,5,2000.0,4000.0,1,,0,100,1,AAMA,False,True,435.0,505.0,385.0,495.0
1,6,0,36,35126,1000,5000,1000,500,3,4,3,3,5,3.0,4.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,5.0,370.0,725.0,1175.0,1905.0,2315.0,880.0,1080.0,1720.0,2190.0,2620.0,0,2620.0,2250.0,5,2000.0,4000.0,1,,0,100,2,AAMA,False,True,355.0,450.0,730.0,410.0
1,7,0,41,40271,1000,5000,1000,500,3,4,2,3,5,3.0,4.0,2.0,3.0,5.0,3.0,4.0,2.0,3.0,5.0,5.0,490.0,1055.0,1650.0,2070.0,285.0,835.0,1320.0,1940.0,2445.0,0,2445.0,2440.0,5,2000.0,4000.0,1,,0,100,3,AAMA,True,False,485.0,565.0,595.0,420.0
1,8,0,46,45241,1000,5000,1000,500,3,4,3,3,5,3.0,4.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,5.0,5.0,645.0,1310.0,2165.0,2630.0,330.0,965.0,2025.0,2510.0,3000.0,0,3000.0,2995.0,5,2000.0,4000.0,1,,0,100,4,AAMA,True,False,640.0,665.0,855.0,465.0
1,9,0,51,50771,1000,5000,1000,500,1,3,1,4,3,1.0,3.0,1.0,4.0,3.0,1.0,3.0,1.0,4.0,3.0,630.0,1255.0,1675.0,2325.0,2830.0,935.0,1570.0,1980.0,2665.0,3120.0,0,3120.0,2490.0,5,2000.0,4000.0,3,,0,100,1,AAAA,False,True,625.0,420.0,650.0,505.0
1,10,0,57,56416,1000,5000,1000,500,1,3,1,4,3,1.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,4.0,5.0,650.0,1600.0,2080.0,2090.0,195.0,1090.0,1880.0,2085.0,2420.0,1,5000.0,5000.0,3,2000.0,4000.0,3,,0,100,2,AAAA,True,False,645.0,950.0,480.0,10.0
