BN,TN,startTR,startTRReal,startTimeReal,planTime,execTime,feedbackTime,iti,expectedDigit1,expectedDigit2,expectedDigit3,expectedDigit4,expectedDigit5,pressedDigit1,pressedDigit2,pressedDigit3,pressedDigit4,pressedDigit5,reactionTime1,reactionTime2,reactionTime3,reactionTime4,reactionTime5,Movement Time,numCorrectDigits,rewThresh1,rewThresh2,QuartetType,Unnamed: 29,SN,SID,PosInQuartet,Quartet,correct,ipi1,ipi2,ipi3,ipi4
1,1,0,6,5000,0,5000,1000,500,1,2,1,2,3,0.0,1.0,0.0,1.0,2.0,900.0,1225.0,1510.0,1910.0,2545.0,2785.0,5,3000.0,4500.0,3,,0,102,1,AAAA,True,325.0,285.0,400.0,635.0
1,2,0,10,9310,0,5000,1000,500,1,2,1,2,3,0.0,1.0,0.0,1.0,2.0,730.0,2015.0,2395.0,2705.0,2920.0,3100.0,5,3000.0,4500.0,3,,0,102,2,AAAA,True,1285.0,380.0,310.0,215.0
1,3,0,14,13936,0,5000,1000,500,1,2,1,2,3,0.0,1.0,0.0,1.0,2.0,455.0,700.0,930.0,1175.0,1370.0,1555.0,5,3000.0,4500.0,3,,0,102,3,AAAA,True,245.0,230.0,245.0,195.0
1,4,0,18,17015,0,5000,1000,500,1,2,1,2,3,0.0,1.0,1.0,1.0,2.0,390.0,610.0,990.0,1775.0,2020.0,5000.0,4,3000.0,4500.0,3,,0,102,4,AAAA,False,220.0,380.0,785.0,245.0
1,5,0,21,20766,0,5000,1000,500,1,2,2,1,5,0.0,1.0,1.0,0.0,4.0,425.0,775.0,1060.0,1325.0,1910.0,2145.0,5,3000.0,4500.0,2,,0,102,1,AARA,True,350.0,285.0,265.0,585.0
1,6,0,25,24435,0,5000,1000,500,1,2,2,1,5,0.0,1.0,1.0,0.0,4.0,545.0,780.0,1110.0,1390.0,2140.0,2450.0,5,3000.0,4500.0,2,,0,102,2,AARA,True,235.0,330.0,280.0,750.0
1,7,0,29,28410,0,5000,1000,500,4,1,4,4,3,3.0,0.0,3.0,3.0,2.0,970.0,1210.0,1455.0,1730.0,1985.0,2155.0,5,3000.0,4500.0,2,,0,102,3,AARA,True,240.0,245.0,275.0,255.0
1,8,0,33,32090,0,5000,1000,500,1,2,2,1,5,0.0,1.0,0.0,0.0,4.0,585.0,815.0,1035.0,1795.0,2200.0,5000.0,4,3000.0,4500.0,2,,0,102,4,AARA,False,230.0,220.0,760.0,405.0
1,9,0,37,36020,0,5000,1000,500,5,2,4,3,4,4.0,1.0,3.0,2.0,3.0,770.0,1535.0,1890.0,2265.0,2600.0,2775.0,5,3000.0,4500.0,1,,0,102,1,AAMA,True,765.0,355.0,375.0,335.0
1,10,0,41,40320,0,5000,1000,500,5,2,4,3,4,4.0,1.0,3.0,2.0,3.0,700.0,970.0,1225.0,1505.0,1820.0,2035.0,5,3000.0,4500.0,1,,0,102,2,AAMA,True,270.0,255.0,280.0,315.0
1,11,0,44,43880,0,5000,1000,500,5,2,2,3,4,4.0,1.0,1.0,2.0,3.0,740.0,1000.0,1305.0,1580.0,1780.0,1970.0,5,3000.0,4500.0,1,,0,102,3,AAMA,True,260.0,305.0,275.0,200.0
1,12,0,48,47375,0,5000,1000,500,5,2,4,3,4,4.0,1.0,3.0,2.0,3.0,550.0,1215.0,1595.0,1915.0,2500.0,2725.0,5,3000.0,4500.0,1,,0,102,4,AAMA,True,665.0,380.0,320.0,585.0
1,13,0,52,51630,0,5000,1000,500,1,4,5,3,4,0.0,3.0,4.0,2.0,3.0,705.0,1000.0,1300.0,1590.0,1820.0,1965.0,5,3000.0,4500.0,3,,0,102,1,AAAA,True,295.0,300.0,290.0,230.0
1,14,0,56,55125,0,5000,1000,500,1,4,5,3,4,0.0,3.0,4.0,2.0,3.0,570.0,850.0,1130.0,1415.0,1580.0,1705.0,5,3000.0,4500.0,3,,0,102,2,AAAA,True,280.0,280.0,285.0,165.0
1,15,0,59,58355,0,5000,1000,500,1,4,5,3,4,0.0,3.0,4.0,2.0,3.0,550.0,840.0,1145.0,1450.0,1595.0,1700.0,5,3000.0,4500.0,3,,0,102,3,AAAA,True,290.0,305.0,305.0,145.0
1,16,0,62,61580,0,5000,1000,500,1,4,5,3,4,0.0,3.0,4.0,2.0,3.0,360.0,585.0,870.0,1090.0,1670.0,1865.0,5,3000.0,4500.0,3,,0,102,4,AAAA,True,225.0,285.0,220.0,580.0
1,17,0,65,64970,0,5000,1000,500,1,5,4,1,5,0.0,4.0,3.0,0.0,4.0,450.0,700.0,960.0,1255.0,1515.0,1700.0,5,3000.0,4500.0,3,,0,102,1,AAAA,True,250.0,260.0,295.0,260.0
1,18,0,69,68195,0,5000,1000,500,1,5,4,1,5,0.0,4.0,3.0,0.0,4.0,390.0,640.0,1060.0,1590.0,1845.0,2035.0,5,3000.0,4500.0,3,,0,102,2,AAAA,True,250.0,420.0,530.0,255.0
1,19,0,72,71755,0,5000,1000,500,1,5,4,1,5,0.0,4.0,3.0,0.0,4.0,400.0,615.0,930.0,1335.0,1575.0,1770.0,5,3000.0,4500.0,3,,0,102,3,AAAA,True,215.0,315.0,405.0,240.0
1,20,0,76,75050,0,5000,1000,500,1,5,4,1,5,0.0,4.0,3.0,0.0,4.0,400.0,645.0,935.0,1170.0,1375.0,1585.0,5,3000.0,4500.0,3,,0,102,4,AAAA,True,245.0,290.0,235.0,205.0
1,21,0,79,78160,0,5000,1000,500,1,4,1,5,1,0.0,3.0,0.0,4.0,0.0,380.0,635.0,875.0,1135.0,1410.0,1605.0,5,3000.0,4500.0,1,,0,102,1,AAMA,True,255.0,240.0,260.0,275.0
1,22,0,82,81290,0,5000,1000,500,1,4,1,5,1,0.0,3.0,0.0,4.0,0.0,410.0,815.0,1535.0,1860.0,2085.0,2265.0,5,3000.0,4500.0,1,,0,102,2,AAMA,True,405.0,720.0,325.0,225.0
1,23,0,86,85080,0,5000,1000,500,1,4,4,5,1,0.0,3.0,3.0,4.0,0.0,420.0,660.0,930.0,1120.0,1360.0,1540.0,5,3000.0,4500.0,1,,0,102,3,AAMA,True,240.0,270.0,190.0,240.0
